Unnamed: 0
"Пахота зяби под мн тр
Отд 11 65/65
Вал 58720
Урож 9"
"Пахота под сах св
По Пу 88/329
Отд 11 23/60
Отд 12 34/204
Отд 16 31/65

Пахота под мн тр
По Пу 10/438
Отд 17 10/80

Чизел под оз ячмень
По Пу 71/528
Отд 11 71/130

2-е диск под сах св
По Пу 80/1263
Отд 12 80/314

2-е диск под оз ячмень
По Пу 97/819
Отд 17 97/179

Диск кук силос
По Пу 43/650
Отд 11 33/133
Отд 12 10/148

Выкаш отц форм под/г
Отд 12 10/22

Уборка сах св
Отд 12 16/16
Вал 473920
Урож 296,2
Диг - 19,19
Оз - 5,33"
"Восход
Посев кук-24/252га
24%
Предпосевная культ
Под кук-94/490га46%
СЗРоз пш-103/557га
25%
Подкормка оз рапс-
152га , 100%, подкормка овса-97га, 50%
Довсходовое боронование подсолнечника-524
га, 100%."
"ТСК
Выравнивание зяби под сою 25 га/ с нарастающим 765 га ( 13%) Остаток 5332 га
Выравнивание зяби под кукурузу 131га (3%) Остаток 4486 га
Осадки 1мм"
"20.11 Мир
Пахота зяби под сою 100 га день, 1109 га от начала, 97%, 30 га остаток.
Работало 4 агрегата.
Выравнивание зяби под подсолнечник 47 га день, 141 га от начала, 29 %, остаток 565 га. Работал 1 агрегат

Осадки:
Бригада 1 Воронежская - 6 мм"
"АО Кропоткинское
26.03.25
2 подкормка озимой пшеницы - 862/5519
Предпосевная культивация под сах.свеклу - 274/896
Сев сах.свеклы - 276/666 (31%) 7ед.
Осталось 1475га
Выравнивание зяби под кукурузу - 295/2348"
"Восход
Посев подсолнечника
День-149га
Всего-351га,67%
Химпрополка рапса
152га, 100%
Первая культивация
Зябис день-180га
Всего-1430га, 76,2%."
"Восход
Сев подсолнечника
День-145га, всего-496га,95%
2-я подкормка оз
Пш-218га, 10%.
1-я культивация зяби день-196га,
Всего-1626га, 86%."
"27.03.25 Мир.
Выравнивание зяби под сою 53/1153/20 - 98%
Сплошная культивация под сою 50/140/447 - 24%
Предпосевная культивация под сахарную свеклу 85/702/246 - 74%
Сев сахарной свеклы 135/655/293 - 69%
2-я подкормка озимой пшеницы 1047/2205/3079 - 42%

На севе работало 5 ед"
"27.03.25г.
СП Коломейцево

предпосевная культивация  
 -под сахарную свеклу: 
   День 19га
  от начала 314га(100%)
  -под подсолнечник
    день 20га
    от начала 20га(10%)

Сев сахарной свеклы: 
День 30га
