postproc_data
"пахота зяби под многолетние травы
по пу площадь за день 26 площадь с начала операции 488
отделение 12 площадь за день 26 площадь с начала операции 221

предпосевная культура под озимая пшеница
по пу площадь за день 215 площадь с начала операции 1015
отделение 12 площадь за день 128 площадь с начала операции 317
отделение 16 площадь за день 123 площадь с начала операции 529

второе дискование сахарная свекла под пшеница
по пу площадь за день 22 площадь с начала операции 627
отделение 11 площадь за день 22 площадь с начала операции 217

второе дискование сои под озимая пшеница
по пу площадь за день 45 площадь с начала операции 1907
отделение 12 площадь за день 45 площадь с начала операции 299"
"пахота зяби под многолетние травы
по пу площадь за день 26 площадь с начала операции 514
отделение 12 площадь за день 26 площадь с начала операции 247

пахота зяби под сою
по пу площадь за день 13 площадь с начала операции 1351
отделение 16 площадь за день 13 площадь с начала операции 731

предпосевная культура под озимая пшеница
по пу площадь за день 56 площадь с начала операции 1071
отделение 16 площадь за день 56 площадь с начала операции 585

дискование сахарная свекла
по пу площадь за день 85 площадь с начала операции 870
отделение 17 площадь за день 85 площадь с начала операции 168

второе дискование сахарная свекла под пшеница
по пу площадь за день 123 площадь с начала операции 750
отделение 12 площадь за день 123 площадь с начала операции 450

второе дискование сои под озимая пшеница
по пу площадь за день 82 площадь с начала операции 1989
отделение 11 площадь за день 82 площадь с начала операции 993"
"пахота зяби под сою
по пу площадь за день 29 площадь с начала операции 1367
отделение 16 площадь за день 29 площадь с начала операции 760

предпосевная культура под озимая пшеница
по пу площадь за день 146 площадь с начала операции 1217
отделение 11 площадь за день 146 площадь с начала операции 233

дискование сахарная свекла
по пу площадь за день 64 площадь с начала операции 934
отделение 17 площадь за день 64 площадь с начала операции 232

второе дискование сахарная свекла под пшеница
по пу площадь за день 25 площадь с начала операции 775
отделение 12 площадь за день 25 площадь с начала операции 475"
"12.10
внесение минеральные удобрений под озимая пшеницу 2025 г пу юг площадь за день 149 площадь с начала операции 7264
отделение 17-площадь за день 149 площадь с начала операции 1443"
"пахота зяби под сою
по пу площадь за день 15 площадь с начала операции 1382
отделение 16 площадь за день 15 площадь с начала операции 775

пахота зяби под многолетние травы
по пу площадь за день 13 площадь с начала операции 527
отделение 12 площадь за день 13 площадь с начала операции 260

второе дискование сои под пшеница
по пу площадь за день 87 площадь с начала операции 2076
отделение 12 площадь за день 87 площадь с начала операции 386

второе дискование сахарная свекла под пшеница
по пу площадь за день 149 площадь с начала операции 899
отделение 17 площадь за день 149 площадь с начала операции 232

3-е дискование подсол под пшеница
по пу площадь за день 47 площадь с начала операции 949
отделение 11 площадь за день 47 площадь с начала операции 47

предпосевная культура под озимая пшеница
по пу площадь за день 95 площадь с начала операции 1312
отделение 11 площадь за день 95 площадь с начала операции 328"
"пахота зяби под многолетние травы
по пу площадь за день 13 площадь с начала операции 540
отделение 12 площадь за день 13 площадь с начала операции 273

дискование сахарная свекла
по пу площадь за день 70 площадь с начала операции 1004
отделение 17 площадь за день 70 площадь с начала операции 302

предпосевная культура под озимая пшеница
по пу площадь за день 91 площадь с начала операции 1403
отделение 11 площадь за день 45 площадь с начала операции 373
отделение 12 площадь за день 46 площадь с начала операции 363"
"15.10
внесение минеральные удобрений под озимая пшеницу 2025 г пу юг площадь за день 117 площадь с начала операции 7381
отделение 17-площадь за день 117 площадь с начала операции 1560"
"15.10
внесение противозлакового гербецида на озимая рапсе пу юг площадь за день 88 площадь с начала операции 384
отделение 12- площадь за день 88 площадь с начала операции 325"
"пахота зяби под многолетние травы
по пу площадь за день 26 площадь с начала операции 566
отделение 12 площадь за день 26 площадь с начала операции 299

предпосевная культура под озимая пшеница
по пу площадь за день 247 площадь с начала операции 1650
отделение 11 площадь за день 161 площадь с начала операции 534
отделение 12 площадь за день 86 площадь с начала операции 449

дискование сахарная свекла
по пу площадь за день 47 площадь с начала операции 1051
отделение 17 площадь за день 47 площадь с начала операции 349

второе дискование сахарная свекла под пшеница
по пу площадь за день 23 площадь с начала операции 922
отделение 17 площадь за день 23 площадь с начала операции 255

выравнивание зяби под многолетние травы
по пу площадь за день 48 площадь с начала операции 337
отделение 12 площадь за день 48 площадь с начала операции 70"
"пахота зяби под многолетние травы
по пу площадь за день 13 площадь с начала операции 579
отделение 12 площадь за день 13 площадь с начала операции 312

второе дискование сахарная свекла
по пу площадь за день 35 площадь с начала операции 957
отделение 17 площадь за день 35 площадь с начала операции 290

выравнивание зяби под многолетние травы
по пу площадь за день 101 площадь с начала операции 438
отделение 12 площадь за день 101 площадь с начала операции 171"
"16.10
внесение противозлакового гербецида на озимая рапсе пу юг площадь за день 60 площадь с начала операции 444
отделение 11-площадь за день 60 площадь с начала операции 119"
"пахота зяби под сою 
по пу площадь за день 7 площадь с начала операции 1402
отделение 17 площадь за день 7 площадь с начала операции 141

выравнивание зяби под кукурузный силос
по пу площадь за день 16 площадь с начала операции 16
отделение 12 площадь за день 16 площадь с начала операции 16

выравнивание зяби под сахарная свекла
по пу площадь за день 67 площадь с начала операции 912
отделение 12 площадь за день 67 площадь с начала операции 376

2-ое дискование сахарная свекла 
по пу площадь за день 59 площадь с начала операции 1041
отделение 17 площадь за день 59 площадь с начала операции 349"
"пахота зяби под сою
по пу площадь за день 5 площадь с начала операции 1427
отделение 17 площадь за день 5 площадь с начала операции 166

пахота зяби под кукурузный силос
по пу площадь за день 26 площадь с начала операции 445
отделение 11 площадь за день 26 площадь с начала операции 180

второе дискование сахарная свекла под пшеница
по пу площадь за день 41 площадь с начала операции 1142
отделение 17 площадь за день 41 площадь с начала операции 450

выравнивание зяби под сахарная свекла
по пу площадь за день 35 площадь с начала операции 1269
отделение 11 площадь за день 35 площадь с начала операции 400"
"пахота зяби под сою
по пу площадь за день 13 площадь с начала операции 1440
отделение 17 площадь за день 13 площадь с начала операции 179

пахота зяби под кукурузный силос
по пу площадь за день 26 площадь с начала операции 471
отделение 11 площадь за день 26 площадь с начала операции 206

дискование сахарная свекла
по пу площадь за день 85 площадь с начала операции 1237
отделение 17 площадь за день 85 площадь с начала операции 535

выравнивание зяби под сахарная свекла
по пу площадь за день 45 площадь с начала операции 1314
отделение 11 площадь за день 10 площадь с начала операции 410
отделение 12 площадь за день 35 площадь с начала операции 661

выравнивание зяби под подсолнухи
отделение 11 площадь за день 41 площадь с начала операции 41"
"15.11 мир
пахота зяби под кукурузу 7 га день, 569 га от начала, 84%, 103 га остаток.
пахота зяби под сою 50 га день, 849 га от начала, 75%, 290 га остаток.
работало 4 агрегата.
выравнивание зяби под сахарную свёклу 43 га день, 917 га от начала, 96 %, 35 га остаток.
работал 1 агрегат."
"тск 
выравнивание зяби под сою 199 га/ с нарастающим 533 га (8%) остаток 5564 га
осадки 2 мм"
"пахота зяби под сою
по пу площадь за день 11 площадь с начала операции 1451
отделение 17 площадь за день 11 площадь с начала операции 190

дискование сахарная свекла
по пу площадь за день 118 площадь с начала операции 1355
отделение 17 площадь за день 118 площадь с начала операции 653

второе дискование сахарная свекла под пшеница
по пу площадь за день 35 площадь с начала операции 1177
отделение 17 площадь за день 35 площадь с начала операции 485

выравнивание зяби под сахарная свекла
по пу площадь за день 51 площадь с начала операции 1365
отделение 11 площадь за день 51 площадь с начала операции 461

выравнивание зяби под подсолнухи
отделение 11 площадь за день 47 площадь с начала операции 89"
"23.10
внесение минеральные удобрений под озимая пшеницу 2025 г пу юг площадь за день 216 площадь с начала операции 7698
отделение 17-площадь за день 216 площадь с начала операции 1877"
"23.10
внесение противозлакового гербецида на озимая рапсе пу юг площадь за день 134 площадь с начала операции 578
отделение 11-площадь за день 134 площадь с начала операции 253"
"пахота зяби под сою
по пу площадь за день 13 площадь с начала операции 1464
отделение 17 площадь за день 13 площадь с начала операции 203

дискование сахарная свекла
по пу площадь за день 36 площадь с начала операции 1391
отделение 16 площадь за день 25 площадь с начала операции 25
отделение 17 площадь за день 11 площадь с начала операции 664

второе дискование сахарная свекла под пшеница
по пу площадь за день 111 площадь с начала операции 1288
отделение 17 площадь за день 111 площадь с начала операции 596

выравнивание зяби под сахарная свекла
по пу площадь за день 30 площадь с начала операции 1395
отделение 11 площадь за день 30 площадь с начала операции 491"
"тск 
выравнивание зяби под сою 187 га/ с нарастающим 740 га (13%) остаток 5357 га
осадки 1 мм"
"19.11 мир
пахота зяби под кукурузу 8 га день, 672 га от начала, 100%
пахота зяби под сою 70 га день, 1009 га от начала, 89%, 130 га остаток.
работало 3 агрегата.
выравнивание зяби под подсолнечник 15 га день, 15 га от начала, 2%, остаток 691га. работал 1 агрегат"
"24.10
внесение противозлакового гербецида на озимая рапсе пу юг площадь за день 108 площадь с начала операции 686
отделение 11-площадь за день 108 площадь с начала операции 361"
"24.10
внесение минеральные удобрений под озимая пшеницу 2025 г пу юг площадь за день 123 площадь с начала операции 7821
отделение 16-площадь за день 123 площадь с начала операции 1123"
"17.07
внесение минеральные удобрений под озимая рапс пу юг площадь за день 206 площадь с начала операции 319
отделение 16- площадь за день 119 площадь с начала операции 119
отделение 17-площадь за день 87 площадь с начала операции 87"
"17.07
внесение минеральные удобрений под сахарная свёклу 2025 г пу юг- площадь за день 83 площадь с начала операции 739
отделение 17-площадь за день 83 площадь с начала операции 83

внесение минеральных удобрений под озимая ячмень пу юг площадь за день 80 площадь с начала операции 320
отделение 12-площадь за день 80 площадь с начала операции 219"
"диск озимая пшеницы 
по пу площадь за день 20 площадь с начала операции 8497
отделение 17 площадь за день 20 площадь с начала операции 1793

второе дискование под сахарная свекла
по пу площадь за день 112 площадь с начала операции 817
отделение 16 площадь за день 112 площадь с начала операции 594

второе дискование под озимая ячмень 
по пу площадь за день 61 площадь с начала операции 352
отделение 11 площадь за день 32 площадь с начала операции 32
отделение 12 площадь за день 29 площадь с начала операции 219

дискование кукурузный силос
по пу площадь за день 119 площадь с начала операции 338
